Algorithm,N,Total_Energy_Cost_INR_mean,Total_Energy_Cost_INR_sd,Total_Energy_Cost_INR_ci95,Total_Energy_kWh_mean,Total_Energy_kWh_sd,Total_Energy_kWh_ci95,Peak_Hour_Load_kW_mean,Peak_Hour_Load_kW_sd,Peak_Hour_Load_kW_ci95,Total_Carbon_Emissions_tCO2_mean,Total_Carbon_Emissions_tCO2_sd,Total_Carbon_Emissions_tCO2_ci95,Average_Waiting_Time_min_mean,Average_Waiting_Time_min_sd,Average_Waiting_Time_min_ci95,Makespan_hours_mean,Makespan_hours_sd,Makespan_hours_ci95,Machine_Utilization_pct_mean,Machine_Utilization_pct_sd,Machine_Utilization_pct_ci95,On_Time_Completion_pct_mean,On_Time_Completion_pct_sd,On_Time_Completion_pct_ci95,Late_Jobs_mean,Late_Jobs_sd,Late_Jobs_ci95,Total_Delay_min_mean,Total_Delay_min_sd,Total_Delay_min_ci95
CP_SAT_Warm,1,204524.46,0.0,0.0,22062.502,0.0,0.0,643.61,0.0,0.0,313.121,0.0,0.0,412.83,0.0,0.0,50.0,0.0,0.0,47.06,0.0,0.0,78.33,0.0,0.0,39.0,0.0,0.0,25245.0,0.0,0.0
EDD,6,185058.707,14789.809,15520.952,18647.602,1978.56,2076.372,807.777,14.289,14.995,272.44,33.272,34.917,66.498,18.69,19.614,47.667,1.579,1.657,48.772,4.54,4.764,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Energy_Unaware_Greedy,6,191058.823,13463.086,14128.642,18987.224,2007.021,2106.239,813.61,0.0,0.0,275.095,31.128,32.667,59.943,25.739,27.012,47.75,1.636,1.716,48.682,4.445,4.665,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FCFS,6,186331.492,12207.565,12811.054,18225.098,1676.484,1759.362,813.61,0.0,0.0,267.974,29.57,31.032,60.402,22.729,23.853,47.75,1.636,1.716,48.682,4.445,4.665,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FD_PDTS_Deterministic,6,169129.807,17343.877,18201.283,16599.448,2295.32,2408.791,813.61,0.0,0.0,247.789,36.555,38.362,95.653,26.604,27.919,48.375,1.686,1.77,48.03,4.099,4.302,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FD_PDTS_Robust,6,169015.007,17980.147,18869.008,16695.622,2407.781,2526.811,813.61,0.0,0.0,249.908,39.746,41.711,99.427,26.141,27.434,48.875,1.948,2.044,47.582,4.526,4.75,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPT,6,189246.633,14959.739,15699.283,18340.764,1786.969,1875.309,813.61,0.0,0.0,265.51,32.874,34.499,72.828,35.427,37.179,47.75,1.636,1.716,48.682,4.445,4.665,99.64,0.558,0.586,0.667,1.033,1.084,65.0,100.698,105.676
Makespan_Greedy,6,186904.493,14438.279,15152.045,18292.72,1927.926,2023.234,813.61,0.0,0.0,268.129,32.556,34.166,60.432,22.887,24.019,47.75,1.636,1.716,48.682,4.445,4.665,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPT,6,172962.078,10024.13,10519.68,18510.603,2056.208,2157.858,781.61,37.068,38.9,266.377,28.295,29.694,85.387,28.915,30.344,48.75,1.884,1.977,47.628,3.57,3.747,98.505,1.029,1.08,2.667,1.751,1.838,612.5,784.568,823.354
