Total_Energy_Cost_INR,Total_Energy_kWh,Peak_Hour_Load_kW,Makespan_min,Makespan_hours,Machine_Utilization_pct,Average_Waiting_Time_min,Total_Idle_Time_min,Total_Delay_min,Late_Jobs,On_Time_Completion_pct,Total_Carbon_Emissions_tCO2,Total_Power_Factor_Penalty_INR,Algorithm,Seed,N_Jobs,N_Machines,Runtime_s,Solver_Status,Optimality_Proven,Objective_Value,Best_Bound,Warm_Start
191760.67,20211.435,784.48,2895.0,48.25,55.63,158.78,10275.0,0.0,0,100.0,840.645113,32591.24,FD_PDTS_Robust,52,200,8,0.033,GREEDY,False,,,
145579.81,15948.1025,609.48,2925.0,48.75,55.06,170.32,10515.0,0.0,0,100.0,694.291294,24782.4,CP_SAT_Warm,52,200,8,120.02,FEASIBLE,False,273485950.0,162239390.0,True
107694.7,15532.6325,249.48,3480.0,58.0,46.28,435.23,14955.0,705.0,14,93.0,784.972149,18574.93,CP_SAT_Cold,52,200,8,120.05,FEASIBLE,False,186515790.0,2666720.0,False
203168.41,19821.55,784.48,2940.0,49.0,51.34,48.32,11445.0,0.0,0,100.0,775.821444,34277.62,FCFS,53,190,8,0.004,GREEDY,False,,,
181089.65,19732.55,784.48,3045.0,50.75,49.57,90.87,12285.0,810.0,3,98.42,846.1865,30613.48,SPT,53,190,8,0.005,GREEDY,False,,,
205428.51,20242.3125,784.48,2940.0,49.0,51.34,65.45,11445.0,0.0,0,100.0,798.986727,34758.16,LPT,53,190,8,0.005,GREEDY,False,,,
198782.33,20258.415,784.48,2955.0,49.25,51.08,64.74,11565.0,0.0,0,100.0,811.064588,33546.87,EDD,53,190,8,0.005,GREEDY,False,,,
207625.07,20839.065,784.48,2940.0,49.0,51.34,56.76,11445.0,0.0,0,100.0,831.382158,35108.95,Energy_Unaware_Greedy,53,190,8,0.005,GREEDY,False,,,
200719.53,19848.1725,784.48,2955.0,49.25,51.08,52.42,11565.0,0.0,0,100.0,779.79325,34013.94,Makespan_Greedy,53,190,8,0.005,GREEDY,False,,,
183074.05,18230.9375,784.48,2955.0,49.25,51.08,90.95,11565.0,0.0,0,100.0,732.107321,30987.23,FD_PDTS_Deterministic,53,190,8,0.032,GREEDY,False,,,
182897.51,18375.7025,784.48,2955.0,49.25,51.08,87.87,11565.0,0.0,0,100.0,746.54904,30895.4,FD_PDTS_Robust,53,190,8,0.032,GREEDY,False,,,
139401.84,14673.0025,454.48,2925.0,48.75,51.6,96.55,11325.0,0.0,0,100.0,625.131389,23653.75,CP_SAT_Warm,53,190,8,120.02,FEASIBLE,False,259926430.0,150879230.0,True
96753.75,14123.29,161.48,3345.0,55.75,45.12,424.03,14685.0,645.0,11,94.21,726.116606,16885.35,CP_SAT_Cold,53,190,8,120.05,FEASIBLE,False,165407570.0,1541900.0,False
175441.85,15894.55,784.48,2865.0,47.75,42.8,47.47,13110.0,0.0,0,100.0,626.009698,29773.83,FCFS,54,170,8,0.004,GREEDY,False,,,
163956.18,16250.7025,784.48,2865.0,47.75,42.8,73.5,13110.0,0.0,0,100.0,691.765484,27726.74,SPT,54,170,8,0.004,GREEDY,False,,,
181733.79,16543.785,784.48,2865.0,47.75,42.8,46.76,13110.0,0.0,0,100.0,660.807554,30733.5,LPT,54,170,8,0.004,GREEDY,False,,,
172944.71,16334.5,784.48,2865.0,47.75,42.8,63.18,13110.0,0.0,0,100.0,686.146848,29226.39,EDD,54,170,8,0.004,GREEDY,False,,,
177226.34,16134.8775,784.48,2865.0,47.75,42.8,46.76,13110.0,0.0,0,100.0,635.246217,29978.5,Energy_Unaware_Greedy,54,170,8,0.004,GREEDY,False,,,
175826.17,16135.14,784.48,2865.0,47.75,42.8,53.29,13110.0,0.0,0,100.0,643.74694,29722.56,Makespan_Greedy,54,170,8,0.004,GREEDY,False,,,
162421.95,14765.4925,784.48,2880.0,48.0,42.58,79.85,13230.0,0.0,0,100.0,587.626496,27478.85,FD_PDTS_Deterministic,54,170,8,0.031,GREEDY,False,,,
160688.5,14622.8525,784.48,2865.0,47.75,42.8,82.68,13110.0,0.0,0,100.0,583.869798,27151.65,FD_PDTS_Robust,54,170,8,0.031,GREEDY,False,,,
118312.1,10918.845,499.48,2880.0,48.0,42.58,87.62,13230.0,0.0,0,100.0,467.351581,20092.54,CP_SAT_Warm,54,170,8,120.02,FEASIBLE,False,212513990.0,135028840.0,True
77000.89,10623.715,86.48,3375.0,56.25,36.33,466.85,17190.0,810.0,14,91.76,589.507001,13450.46,CP_SAT_Cold,54,170,8,120.04,FEASIBLE,False,117295010.0,5600.0,False
199630.16,19625.255,784.48,2940.0,49.0,50.77,83.4,11580.0,0.0,0,100.0,801.554239,34067.52,FCFS,55,200,8,0.005,GREEDY,False,,,
181232.71,19446.1375,784.48,3210.0,53.5,46.5,105.45,13740.0,705.0,5,97.5,846.059057,31284.56,SPT,55,200,8,0.005,GREEDY,False,,,
199953.42,19345.955,784.48,2910.0,48.5,51.29,104.92,11340.0,285.0,3,98.5,769.61462,34162.73,LPT,55,200,8,0.005,GREEDY,False,,,
197919.11,19603.8125,784.48,3030.0,50.5,49.26,93.9,12300.0,0.0,0,100.0,820.801882,33799.44,EDD,55,200,8,0.006,GREEDY,False,,,
201480.55,20103.5475,784.48,2895.0,48.25,51.55,82.58,11220.0,0.0,0,100.0,832.814482,34367.36,Energy_Unaware_Greedy,55,200,8,0.005,GREEDY,False,,,
198733.88,19768.7475,784.48,2955.0,49.25,50.51,85.58,11700.0,0.0,0,100.0,823.410931,33919.24,Makespan_Greedy,55,200,8,0.005,GREEDY,False,,,
180578.6,17848.2575,784.48,3030.0,50.5,49.26,127.95,12300.0,0.0,0,100.0,756.25633,31007.73,FD_PDTS_Deterministic,55,200,8,0.034,GREEDY,False,,,
180795.2,18000.95,784.48,3030.0,50.5,49.26,130.8,12300.0,0.0,0,100.0,764.078955,31034.07,FD_PDTS_Robust,55,200,8,0.056,GREEDY,False,,,
136887.54,13829.08,454.48,3045.0,50.75,49.01,136.88,12420.0,0.0,0,100.0,617.955736,23490.48,CP_SAT_Warm,55,200,8,120.01,FEASIBLE,False,248749630.0,150712120.0,True
99436.34,13595.6375,161.48,3495.0,58.25,42.7,454.5,16020.0,450.0,15,92.5,718.910587,17281.4,CP_SAT_Cold,55,200,8,120.05,FEASIBLE,False,159419060.0,8050.0,False
171205.92,16397.2975,784.48,2760.0,46.0,45.86,51.51,11955.0,0.0,0,100.0,679.287263,28794.3,FCFS,56,175,8,0.004,GREEDY,False,,,
161969.02,16643.2,784.48,2865.0,47.75,44.18,67.97,12795.0,255.0,2,98.86,727.745606,27232.18,SPT,56,175,8,0.005,GREEDY,False,,,
166808.83,15817.18,784.48,2760.0,46.0,45.86,59.74,11955.0,0.0,0,100.0,659.581698,28022.73,LPT,56,175,8,0.005,GREEDY,False,,,
166007.72,16230.105,784.48,2760.0,46.0,45.86,56.14,11955.0,0.0,0,100.0,683.424342,27813.21,EDD,56,175,8,0.005,GREEDY,False,,,
178140.57,17367.4525,784.48,2760.0,46.0,45.86,49.89,11955.0,0.0,0,100.0,722.648562,29906.53,Energy_Unaware_Greedy,56,175,8,0.004,GREEDY,False,,,
